,Mobile_name,price
0,"SAMSUNG Galaxy S21 FE 5G (White, 256 GB)","₹59,990"
1,"SAMSUNG Galaxy S21 FE 5G (Olive, 256 GB)","₹59,990"
2,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,999"
3,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹15,999"
4,"SAMSUNG S20 FE 5G (Cloud Lavender, 128 GB)","₹36,499"
5,"SAMSUNG Galaxy A73 5G (Awesome Mint, 256 GB)","₹49,990"
6,SAMSUNG Guru Music 2,"₹1,850"
7,SAMSUNG GT-E1215,"₹1,496"
8,SAMSUNG Guru Music 2,"₹2,068"
9,SAMSUNG Guru Music 2,"₹1,995"
10,SAMSUNG GURU MUSIC 2,"₹1,995"
11,SAMSUNG Guru Music 2,"₹1,995"
12,"SAMSUNG Galaxy A03 Core (Black, 32 GB)","₹6,999"
13,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)","₹6,999"
14,"SAMSUNG Galaxy M02 (Red, 32 GB)","₹9,199"
15,"SAMSUNG Galaxy J2 Core (Gold, 8 GB)","₹6,299"
16,"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499"
17,"SAMSUNG Galaxy J2 Core (Black, 8 GB)","₹6,299"
18,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹11,999"
19,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,999"
20,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹11,999"
21,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,999"
22,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
23,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹11,499"
24,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999"
25,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999"
26,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999"
27,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999"
28,"SAMSUNG Galaxy M32 (Black, 64 GB)","₹15,999"
29,"SAMSUNG M32 5G (Slate Black, 128 GB)","₹17,035"
